empid,name,salary,salary_date
110,Thomas Howell,78449.15,2025-07-15
111,Jose Garcia,119024.68,2025-07-16
112,Michelle Moore,140018.54,2025-02-01
113,David Bailey,115311.21,2025-04-17
114,Laura Watts,148490.56,2025-02-19
115,Toni Hughes,85856.22,2024-12-23
116,Russell Hunt,130713.44,2025-06-07
117,Jeffrey Morales,146488.26,2024-11-27
118,Derek Savage,136464.52,2025-06-19
119,Katelyn Williams,80082.01,2025-08-13
120,Natalie Young,94611.5,2025-03-15
121,Mathew Clark,55906.53,2024-12-05
122,April Lee,135336.57,2025-08-03
123,Joshua Hoover,122118.09,2025-08-17
124,Crystal Phillips,35713.07,2025-02-11
125,Melissa Merritt,116405.71,2024-12-22
126,Samuel Smith,94311.58,2024-12-14
127,Danielle Chase,40320.88,2025-04-29
128,Candace Guzman,134279.48,2025-02-02
129,Samantha Walker,47160.86,2025-01-29
130,Amanda Thompson,127411.26,2024-11-17
131,Casey Gill,53535.38,2025-05-11
132,Gregory Floyd,60554.24,2025-01-17
133,Robert Clark,32215.55,2024-12-03
134,Michael Vega,107079.6,2025-04-08
135,Patricia Mays,67260.52,2025-09-23
136,Lisa Munoz,107893.49,2025-05-03
137,Ashley Zavala,30460.62,2025-08-12
138,Jeffery Moore,132382.8,2025-02-03
139,Daniel Phillips,67748.39,2025-01-29
140,Fernando Sanchez,142053.55,2025-03-14
141,Nancy Nelson,87458.87,2025-05-06
142,Ashley Cruz,59279.79,2025-05-06
143,Brent King,37452.09,2025-05-29
144,Julia Smith,51021.32,2025-08-12
145,Keith Perkins,134314.89,2025-05-19
146,Caroline Roman,44057.31,2025-09-03
147,Allen Cooke,110484.63,2024-11-08
148,Jessica Williams,104868.1,2025-07-05
149,Carolyn Jones,44855.54,2025-08-20
150,Patricia Rice,136667.01,2025-02-09
151,Amanda Hayes,128672.1,2025-07-11
152,Laura Barr,100366.2,2025-06-27
153,Emily Herring,77813.19,2025-05-10
154,Michelle Kelly,48854.73,2025-05-15
155,Michael Smith MD,47103.21,2025-07-05
156,Ronald Terry,115171.85,2025-07-14
157,Rodney Frederick,88756.33,2025-01-22
158,Lisa Hanson,85896.11,2025-05-23
159,Crystal Esparza,147753.08,2025-04-25
160,Valerie Mack,79031.01,2025-07-06
161,Cody Suarez,119284.26,2024-12-07
162,Angela Duffy,80219.34,2024-11-05
163,Crystal Atkinson,49372.49,2025-06-20
164,Teresa Schaefer,101546.88,2025-05-21
165,Michael Christensen,138246.92,2025-03-23
166,Marcia Robinson,37877.0,2025-08-15
167,Nathan Taylor,119485.59,2025-01-28
168,Audrey White,131281.82,2024-10-19
169,Michael Chambers,81063.79,2025-04-20
170,Jasmine Coleman,86700.41,2025-03-16
171,Melissa Mullins,41925.28,2025-04-19
172,Dr. Dustin Turner,149430.55,2025-01-09
173,Scott Bernard,146783.95,2025-01-10
174,Lori Ritter,121318.92,2025-04-29
175,Mark Robertson,30270.98,2025-08-11
176,Sarah Hansen,51042.81,2025-06-28
177,Matthew Thomas,138865.84,2025-02-11
178,Rebecca Henson,114080.38,2025-02-07
179,Michael Christian,52430.74,2025-08-01
180,Rachel Camacho,65057.99,2025-09-09
181,John Carter,39717.4,2024-11-14
182,Zachary Torres,148797.19,2024-12-30
183,Zoe Boone,84548.26,2025-08-13
184,Luis Anderson,35106.09,2024-10-15
185,John Murray,39945.33,2025-02-16
186,Emma Barber,133770.82,2025-08-13
187,Julie Hill,46846.6,2025-01-30
188,Ricky Ferrell,50898.52,2025-04-25
189,Timothy Johns,131129.02,2025-02-01
190,John Duncan,52063.46,2025-01-06
191,Jacob Barnes,99110.7,2025-10-03
192,James Bell,138795.1,2025-02-22
193,Jason Davis,39137.3,2025-02-28
194,Jonathan Gray,147089.74,2024-12-28
195,Christopher Rice,80410.28,2024-11-04
196,Anna Munoz,142528.51,2025-06-12
197,Daniel Rivera,112314.02,2025-10-02
198,Lori Chen,34613.97,2025-08-26
199,Mary Hunt,95445.9,2025-01-04
200,Tonya Webster,80344.42,2024-11-08
201,Nicole Scott,51434.62,2025-09-02
202,Bryan Peterson,32515.21,2024-12-28
203,Jessica Hughes,53850.27,2025-03-19
204,Cynthia Parker,93333.62,2024-12-11
205,Jonathan Roberts,62440.14,2025-08-17
206,Charles Nichols,45672.34,2024-10-18
207,Brandon Valdez,68006.7,2025-05-10
208,Robert Woods,49099.13,2025-02-07
209,Robin Watson,91051.66,2025-09-21
210,Alex Ward,140641.58,2025-05-09
211,Michael Craig,31329.34,2025-05-10
212,James Scott,101613.57,2025-04-29
213,Jill Burns,82107.03,2024-12-02
214,Sarah Smith,31302.52,2025-08-29
215,Daniel Bender,106509.53,2025-05-03
216,Cassandra Adams,77412.83,2024-11-29
217,Sarah Mccarthy,137529.96,2024-11-27
218,Dawn Richards,135835.64,2025-06-20
219,Brian Torres,79899.13,2025-02-16
220,Candace Palmer,107534.34,2025-08-03
221,Mary Newton,99236.64,2025-07-30
222,Emily Russo,60926.64,2024-11-20
223,Tara Sullivan,58568.72,2025-01-06
224,Jared Hernandez,103120.0,2024-10-24
225,Derek Martin,98567.87,2025-07-04
226,Brian Griffin,138214.32,2025-02-21
227,Pamela Wang,78618.35,2025-01-17
228,Mr. Stephen Guerra,32664.33,2025-07-20
229,Philip Miles,132064.04,2025-09-28
230,Ronald Richards,31088.41,2025-04-09
231,Samuel Robinson,80451.69,2025-01-09
232,Jeffrey Hudson,62008.42,2025-10-04
233,Anthony Davis,88042.43,2025-08-06
234,Lisa Myers,145038.9,2025-01-17
235,Natasha Shepherd,37678.43,2024-12-16
236,Nancy Solomon,74223.68,2024-11-17
237,Anthony Fisher,78975.92,2025-09-09
238,Henry Martinez,120463.19,2025-04-30
239,Shelly Peterson,43157.77,2025-07-03
240,Sylvia Norman,115931.35,2025-06-09
241,Brandon Bean,44973.14,2025-10-04
242,Richard Fisher,30618.76,2025-05-07
243,Troy Richardson,56152.45,2025-01-12
244,Michael Ramirez,129379.99,2025-08-10
245,Shannon Randall,85770.47,2025-09-24
246,Kimberly Garcia,41747.43,2024-12-28
247,Kristine Turner,68584.93,2025-06-22
248,Christopher Franklin,126923.09,2025-07-18
249,John Williams,132380.85,2025-07-26
250,Michael Vasquez,104490.99,2025-06-20
251,Mark Bernard,144497.54,2025-10-09
252,Kathleen Koch,63884.49,2025-03-27
253,Shannon Smith,66702.56,2025-04-08
254,Michelle Shelton,112115.17,2024-12-02
255,Carol Lee,54532.4,2025-08-29
256,Michael Hernandez,99148.99,2025-03-11
257,Lisa Davis,130122.63,2024-12-03
258,Mark French,123769.07,2024-11-30
259,Lisa Anderson,31996.03,2024-12-18
260,Joshua Franklin,84986.88,2025-04-19
261,Ronald May,53341.01,2025-06-10
262,Michelle Robinson DDS,70213.8,2025-08-06
263,Douglas Meyer,116098.38,2025-03-23
264,Allison Collins,78805.26,2024-10-28
265,William Blair,121477.95,2025-07-12
266,Michelle Hill,138329.83,2025-01-12
267,Andrea Gibson,103772.91,2025-06-10
268,Adriana Thomas,137906.68,2025-04-28
269,William Avila,121324.32,2025-07-01
270,Keith Graham,51221.85,2025-07-27
271,Zachary Wood,64922.7,2025-05-19
272,Amy Lopez PhD,138539.46,2025-08-10
273,Richard Perez,137477.24,2024-11-06
274,Jennifer Glover,120438.51,2025-07-23
275,Megan Jones,33521.59,2025-09-09
276,Andrew Wagner,99874.15,2025-01-08
277,Julie Roth,148708.06,2025-09-05
278,Adam Henson,44478.88,2025-07-18
279,Randy Gibson,59714.08,2025-06-24
280,Jessica Martinez,118942.61,2025-09-11
281,Bradley Robles,94107.92,2024-11-13
282,Stephanie Martinez,65903.82,2025-03-24
283,Ashley Davis,47565.25,2025-01-28
284,Richard Thomas,85238.57,2025-01-10
285,Eric Davis,67761.19,2024-11-04
286,Brooke Huffman,61936.53,2025-08-08
287,Jose Lindsey,54614.85,2025-01-17
288,Richard Steele,70917.52,2025-02-17
289,Nicole Goodman,121398.67,2025-01-01
290,Amy Ray,47654.29,2025-08-16
291,Brett Lam,128435.84,2025-08-08
292,Adriana Watkins,113982.04,2025-09-11
293,Erin Garcia,133452.34,2024-11-27
294,Jay Jones,74381.42,2025-03-02
295,Dr. Brett Horn,122715.86,2025-05-31
296,Kristin Henson,59080.26,2025-04-29
297,Jill Williams,59458.9,2025-04-30
298,Eric Peterson,42077.53,2025-01-12
299,Desiree Hughes,61197.82,2024-12-24
300,Carrie Cherry,101853.2,2025-07-15
301,Brandon Snyder,122344.3,2025-01-28
302,Mr. Robert Mcneil,32666.07,2025-07-24
303,Michelle Romero,34468.44,2025-02-24
304,Mrs. Deborah Cameron,146402.24,2025-07-17
305,Ryan Johnson,140709.37,2024-11-07
306,Justin Hunter,142070.33,2025-03-24
307,John Dean,74385.76,2025-07-22
308,Mary Baker,147538.52,2025-09-22
309,Cynthia Bolton,114387.12,2025-06-01
310,Susan Morrison,116932.78,2025-06-29
311,Rodney Hanna,56675.7,2025-02-02
312,David Howell,110179.1,2025-03-04
313,Barbara Nelson,86976.04,2024-11-07
314,Margaret Snow,134818.38,2025-07-05
315,Keith Clark,97869.61,2025-03-16
316,Nancy Villarreal,87114.82,2025-04-12
317,Chad Mendoza,120112.2,2025-06-09
318,Larry Sullivan,36379.39,2024-12-12
319,Jessica Price,36158.23,2025-01-14
320,John Downs,70896.62,2025-09-16
321,Evelyn Walker,73434.54,2025-07-11
322,Dawn Alexander,106833.54,2025-09-25
323,Brandon Ayers,124721.04,2024-11-22
324,Dr. Susan Buchanan MD,147549.33,2025-01-21
325,Don Martinez,78208.75,2025-06-21
326,Jeremy Dominguez,59425.29,2025-07-14
327,Nathan Malone,102716.85,2025-04-23
328,Chelsea Campos,140363.1,2025-02-13
329,Matthew Gonzalez,105511.18,2025-08-23
330,Joshua Fritz,94773.98,2025-03-18
331,Gabriela Mason,94862.59,2025-01-24
332,Jeremy Meyer,93299.11,2024-11-15
333,Ricardo White,84241.05,2024-12-03
334,Robert Austin,93258.94,2025-07-31
335,Jacob Tucker,90760.28,2025-01-25
336,Kathleen Bentley,132060.21,2025-03-01
337,Joseph Christian,86156.26,2024-12-26
338,Scott Boyd,131327.4,2025-07-20
339,Ryan Conley,90866.88,2025-06-29
340,John Avery,109610.57,2024-12-12
341,James Mitchell,96563.51,2025-03-26
342,Cory Foster,57618.22,2024-10-22
343,Sheryl Mendez,126710.19,2025-06-18
344,Kimberly Rodriguez,143895.71,2025-07-06
345,Jeffrey Becker,119484.85,2024-12-07
346,Derek Meadows,148720.63,2025-09-30
347,Emma Rogers,32864.4,2025-05-15
348,Kristina Patel,106764.96,2025-05-25
349,Jamie Patterson,124830.18,2025-05-29
350,Kendra Hunt,148019.89,2025-03-18
351,Cheryl Valdez DVM,39120.51,2025-01-19
352,Craig Scott,98653.47,2025-05-11
353,George Townsend,123337.14,2024-11-09
354,Jesus Scott,132844.84,2025-02-17
355,Andrea Jordan,82247.59,2025-07-30
356,Isaiah Hill,65873.73,2025-10-10
357,Cody Kerr,57983.05,2024-11-18
358,Henry Richards,104461.11,2025-03-03
359,Matthew Lewis,127866.21,2025-04-22
360,Danielle Nelson,38408.52,2025-01-23
361,Keith Ross,41335.0,2025-04-19
362,Kathryn Lopez,69585.12,2025-07-30
363,Mary Martinez,80666.1,2025-02-03
364,Christina Burns,95540.26,2025-06-20
365,Marissa Perry,70260.62,2025-09-03
366,Karen Gardner,129072.36,2024-10-18
367,Shane Bennett,51446.31,2024-12-08
368,David Campbell,58184.49,2024-10-26
369,Elizabeth Jackson,48012.75,2025-04-26
370,Kimberly Richard,139304.84,2025-08-12
371,Dylan Sullivan,124631.48,2025-04-13
372,Tony Davis,79815.14,2025-02-24
373,Joseph Haynes,107187.69,2025-08-07
374,Angel Banks,109944.49,2025-10-04
375,Brandi Carroll,136151.72,2025-01-09
376,Ricardo Johnson,119313.83,2024-11-01
377,Kayla Garcia,98184.32,2025-03-06
378,Timothy Davis,143333.68,2025-03-05
379,Shawn Hart,32392.53,2025-01-01
380,Alex Perry,30005.91,2025-02-08
381,Nicholas Stanley,56628.14,2025-10-02
382,William Gallegos,136837.58,2024-11-11
383,David Patterson,113963.76,2024-11-18
384,Shelly Austin,97291.62,2025-01-21
385,Joseph Chapman,33460.64,2025-06-28
386,Patricia Christensen,136969.74,2025-05-11
387,Tiffany Hall,49945.13,2025-03-16
388,Misty Davis,96257.8,2025-03-28
389,Olivia Reyes,136391.71,2025-04-06
390,Margaret Parker,67569.06,2024-10-30
391,Christy Gonzalez,118801.63,2025-07-23
392,Keith Gonzalez,113432.6,2025-01-23
393,Patrick White,135197.3,2025-04-26
394,Julie Wells,104519.64,2025-06-11
395,Joseph Krueger,121769.27,2024-11-08
396,Wendy Mccann,44570.52,2025-01-30
397,Colin Jackson,96627.92,2025-08-13
398,Nicholas Jones,133053.34,2025-01-10
399,Joanna Walton,94498.26,2025-02-10
400,Carol Fitzgerald,89011.98,2025-04-21
401,Terri Olson,90114.62,2025-06-20
402,Jennifer Mccormick,125234.22,2025-09-26
403,Lisa Gregory,48410.17,2025-03-18
404,Debbie Cobb,139655.92,2025-03-15
405,Robert Evans,45710.98,2024-12-25
406,Jillian Alexander,32783.08,2025-08-22
407,Angela Williams,58480.17,2025-05-05
408,Monica Thomas,40114.66,2024-10-19
409,Robert Gray,61769.93,2025-02-01
410,Stephen Rowe,102387.24,2025-04-02
411,Felicia Hebert,102957.05,2025-01-13
412,Erik Gillespie,131953.76,2024-12-31
413,Hannah Gonzales,92062.94,2025-03-29
414,James Liu,88092.42,2024-11-17
415,Valerie Watkins,120985.21,2024-12-04
416,Louis Long,74077.97,2025-05-27
417,Dennis Jacobs,130920.31,2025-09-22
418,Casey Phillips,116961.82,2025-01-30
419,Kevin Jenkins,75541.1,2024-10-27
420,Lisa Salas,122260.6,2024-10-12
421,Melinda Cruz,56562.43,2024-11-01
422,Justin Gordon,108703.75,2024-12-08
423,Christopher Mitchell,81276.98,2024-10-15
424,Sandra Carey,134466.34,2025-03-01
425,David Thomas,70163.29,2025-04-15
426,Melanie Butler,143705.19,2025-04-06
427,Clinton Williams,123435.24,2024-11-11
428,Carla Parker,123096.36,2025-01-09
429,Vanessa Johnson,127288.48,2025-09-09
430,Laura Sullivan,78727.43,2025-08-10
431,Jeffery Contreras,42754.12,2025-05-01
432,Oscar Ray,100087.62,2025-04-07
433,Latasha Wood,55388.03,2025-09-15
434,Jennifer Hill,120711.44,2025-10-06
435,Amanda Spencer,80317.08,2025-07-30
436,Melissa Mills,63058.22,2025-05-28
437,Brittney Gates,93945.36,2025-06-21
438,Jessica Hartman,39291.9,2024-10-21
439,Gerald Santos,97241.28,2024-10-29
440,David Soto,91203.7,2025-03-28
441,Todd Allen,52995.98,2025-07-09
442,Devin Wagner,132722.57,2025-08-10
443,Michael Valdez,57299.85,2025-06-18
444,Lawrence Rodriguez,100270.47,2025-07-18
445,Sheila Decker,128752.24,2025-05-30
446,Mary Taylor,38984.24,2024-11-18
447,Tara Armstrong,39813.08,2025-02-13
448,Daniel Owens,37914.96,2025-01-02
449,Taylor Rogers,115669.86,2025-02-18
450,Arthur Mcguire,37384.81,2025-07-11
451,Jennifer Gonzalez,127194.22,2025-07-15
452,Melanie Powell,77447.92,2025-05-05
453,Sheri Taylor,59631.92,2025-10-03
454,Bryan Wood,98607.6,2025-06-13
455,Emily Chan,85523.74,2025-04-04
456,Lisa Gallagher,149066.08,2025-03-16
457,Alicia Garcia,137215.68,2025-06-26
458,Susan Forbes,37034.77,2025-05-14
459,Evan Craig,56484.94,2025-01-08
460,Charles Perkins,100878.23,2025-05-01
461,Brenda Walker,144339.4,2025-10-06
462,Jesus Kim,55936.59,2025-10-06
463,Grant Campos,52915.18,2024-12-29
464,Nicole Jones,103046.09,2025-07-02
465,Marcia Lowe,32979.54,2025-06-01
466,Mrs. Kari Rodriguez DDS,139385.79,2025-10-01
467,Michele Bowman,32759.65,2024-11-30
468,Anthony Fox,34134.55,2025-04-22
469,Gabrielle Lane,76678.43,2025-06-03
470,Garrett Morgan,72481.9,2025-01-17
471,Keith Fowler,107726.19,2024-11-16
472,Kathy Fuentes,34969.94,2024-12-11
473,Robert Payne,134459.14,2025-04-09
474,Amber Harris,53083.24,2025-01-22
475,Amy Kelly,52869.85,2025-07-03
476,Austin Conway,43922.45,2024-10-22
477,Angela Harris,79810.18,2025-06-11
478,Barbara Baker,139005.68,2024-11-06
479,Maria Christensen,92412.55,2025-01-07
480,Leslie Smith DDS,128320.07,2025-06-05
481,Alexander Williams,45646.39,2025-04-18
482,Brooke Winters,79464.87,2025-06-30
483,Samuel Knight,143284.77,2025-05-19
484,Steven Hahn,76704.03,2025-03-24
485,Scott Gaines,130685.27,2025-04-26
486,Chad Ellis,104307.79,2024-12-16
487,Michael Clayton,102510.55,2025-07-09
488,Stacy Rowe,46406.06,2025-06-01
489,Michelle Romero,111495.46,2025-09-07
490,Valerie Hall,60295.03,2024-10-13
491,Dr. Wayne James,51919.8,2024-12-21
492,Michael Benton,62326.82,2025-01-28
493,Amy Sims,118424.82,2025-05-02
494,Laura Nelson,123469.18,2024-12-16
495,Robert Garza,47343.12,2025-08-05
496,Jeffrey Delgado,132049.54,2025-01-25
497,Michael Davis,102624.37,2025-07-28
498,Leslie Smith,61783.06,2025-06-24
499,Tammy Miller,91257.21,2024-11-02
500,Denise Scott,78305.36,2025-09-01
501,Kenneth Gallegos,45005.87,2025-08-11
502,Aaron Campbell,88091.31,2025-01-25
503,Ruben Burns,146078.94,2024-11-28
504,Jeffrey Smith,99195.51,2025-02-03
505,Joseph Ryan,34024.14,2025-09-29
506,Cheryl Reid,124859.14,2025-08-29
507,Bryan Pratt,144614.49,2024-12-09
508,John Fuller,131085.71,2025-09-13
509,Amanda Anderson,38006.76,2025-05-14
510,Kelly Miller,55242.52,2025-04-21
511,Danielle Mendoza,103625.05,2024-11-24
512,Anne Parker,122324.27,2025-06-03
513,Joshua Reyes,40159.02,2025-05-29
514,Andrew Pugh,65521.65,2025-01-14
515,Casey Gallegos,112191.46,2025-04-24
516,Robert Scott,85844.85,2025-09-11
517,Sandra Kline,86834.77,2024-10-16
518,Joshua Ellis,101961.13,2025-08-21
519,Jacob Hall,61853.02,2025-02-09
520,Allison Holden,78156.49,2025-06-10
521,Christy Nolan,65867.3,2025-08-03
522,George Walker,53129.89,2025-08-04
523,Jeremiah Malone,138779.72,2025-01-01
524,Mitchell Fuller,65049.95,2025-09-12
525,Phillip Harper,149299.16,2025-02-01
526,Stephanie Weeks,66405.26,2024-11-23
527,Rachel Freeman,62977.9,2024-10-26
528,Robert Kim,99990.56,2025-08-12
529,Katie Simpson,104484.3,2025-09-26
530,Patricia Conner,80240.57,2025-05-03
531,Debra Faulkner,64592.75,2025-09-25
532,Michelle Bridges,111751.36,2025-02-17
533,Brittany Watkins,128170.5,2025-04-30
534,Christine Walton,140469.01,2025-07-26
535,Antonio Taylor,101447.6,2025-08-22
536,Jason Hanson,34224.98,2024-10-21
537,Dawn Reyes,79726.16,2024-12-14
538,Eric Collins,112222.03,2025-07-20
539,Amanda Wilson,87511.58,2025-07-22
540,Richard Cooper,113361.88,2025-03-21
541,Walter Lester,131926.57,2025-01-09
542,Gina Mills,36695.11,2024-12-26
543,Elizabeth Hickman,108109.13,2025-01-31
544,Jerome Hays,103745.49,2025-01-22
545,Linda Edwards,79303.46,2025-07-28
546,Kimberly Scott,36978.96,2024-11-13
547,Michelle Adams,51606.16,2025-06-26
548,Claudia Barnett,124096.89,2024-12-20
549,William Dominguez,59374.83,2025-01-15
550,Angela Jensen,141823.48,2025-05-14
551,Stephanie Allen,139246.93,2025-07-13
552,Samuel Ford,49037.68,2025-07-29
553,Shannon Norris,131549.1,2025-01-02
554,Lauren Osborn,117946.51,2025-01-11
555,Lisa Riddle,116987.09,2025-04-11
556,Patrick Perry,113390.65,2025-02-25
557,Zachary Kennedy,87691.13,2025-04-30
558,Colleen Matthews,36850.69,2025-03-12
559,Joseph Lee,42783.42,2024-12-22
560,Michael White,147219.26,2024-11-22
561,Bryan Lee,139316.62,2025-07-13
562,Anthony Smith,65317.1,2025-05-22
563,Michelle Brooks,139870.62,2025-02-14
564,Terry Hurley,70884.31,2025-08-11
565,Daniel Thompson,128553.0,2025-01-28
566,Jessica Gardner,67639.77,2025-01-15
567,Christina Young,116443.84,2024-11-13
568,Jeffrey Shields,41546.79,2025-03-29
569,Jeremiah Krause,148643.88,2024-11-17
570,Diane Castro,123165.33,2025-08-08
571,Stanley Smith,144083.24,2025-05-18
572,Deborah Villa,127231.12,2025-01-05
573,Jason Barton,93412.66,2024-10-30
574,Matthew Butler,127568.23,2025-02-08
575,Johnathan Hansen,49986.09,2025-08-14
576,James Bender,68139.4,2025-05-24
577,Sarah Hill,144078.29,2025-04-25
578,Emily Moore,48090.29,2025-04-09
579,Wendy Mcintosh,100545.14,2025-02-22
580,Kimberly Long,84885.84,2024-11-19
581,Tyler Nelson,72587.83,2024-10-30
582,Cynthia Harris,54625.74,2024-12-17
583,Kristine Silva,37303.05,2024-12-30
584,Paul Bryant,48439.23,2025-03-06
585,Cameron Sosa,32283.79,2024-11-26
586,Joseph Black,76349.97,2025-09-22
587,William Torres,55341.66,2025-04-04
588,Kristen Hurst,80374.04,2025-07-01
589,James Mueller,130170.71,2024-12-08
590,David Little,146333.14,2025-04-16
591,Stephanie Gomez,113459.0,2025-01-16
592,Chelsea Elliott,58974.65,2025-08-18
593,Scott Smith,36610.34,2024-10-17
594,Keith Golden,68961.44,2025-06-26
595,Rebecca Bennett,65807.64,2024-12-24
596,Melissa Sanders,120304.21,2025-06-23
597,Kevin Day,99600.15,2025-07-11
598,Darren Adams,137313.12,2025-02-12
599,Joseph Rasmussen,90332.33,2025-10-05
600,Michael Harris,111505.4,2024-11-09
601,Jenna James,133517.23,2025-04-22
602,Stephanie Robinson,111441.54,2025-05-23
603,Brenda Morrow,30730.39,2025-02-09
604,Jason Singleton,65171.93,2025-01-21
605,Gina Ward,41753.35,2025-07-23
606,Kimberly Caldwell,83126.03,2025-06-07
607,Alexander Wilkerson,78178.87,2024-12-11
608,Peter Hudson,41915.25,2024-10-21
609,Aaron Meadows,119815.96,2025-05-11
610,Robert Bishop,47400.25,2025-06-17
611,Angela Padilla,118282.93,2024-12-10
612,James French,34386.23,2025-02-23
613,Shannon Phillips,142106.03,2024-11-16
614,William Conrad,88822.96,2025-07-15
615,Ann Johns,96109.41,2025-07-22
616,Shane Lee,149289.61,2025-05-01
617,Anthony Duke,135911.7,2025-01-06
618,Christopher Taylor,106544.55,2025-03-21
619,Jenna May,34971.03,2025-01-04
620,Kevin King,95693.62,2025-01-12
621,Michelle Bailey DDS,106790.72,2025-10-02
622,Dustin Bryant,144044.22,2025-09-05
623,Jane Smith,107189.18,2025-08-31
624,John Medina,131564.12,2024-12-02
625,Michelle Carlson,130481.84,2025-04-06
626,Katherine Patel,40144.97,2025-09-21
